year,nuts_id,nuts_year_spec,jatit
2009,UKC1,2006,6
2009,UKC2,2006,0
2009,UKD1,2006,6
2009,UKD2,2006,4
2009,UKD3,2006,2
2009,UKD4,2006,7
2009,UKD5,2006,7
2009,UKE1,2006,8
2009,UKE2,2006,3
2009,UKE3,2006,9
2009,UKE4,2006,3
2009,UKF1,2006,6
2009,UKF2,2006,0
2009,UKF3,2006,7
2009,UKG1,2006,3
2009,UKG2,2006,8
2009,UKG3,2006,1
2009,UKH1,2006,9
2009,UKH2,2006,9
2009,UKH3,2006,2
2009,UKI1,2006,1
2009,UKI2,2006,5
2009,UKJ1,2006,6
2009,UKJ2,2006,4
2009,UKJ3,2006,5
2009,UKJ4,2006,7
2009,UKK1,2006,0
2009,UKK2,2006,9
2009,UKK3,2006,9
2009,UKK4,2006,4
2009,UKL1,2006,7
2009,UKL2,2006,7
2009,UKM2,2006,9
2009,UKM3,2006,0
2009,UKM5,2006,1
2009,UKM6,2006,3
2009,UKN0,2006,0
2010,UKC1,2010,3
2010,UKC2,2010,1
2010,UKD1,2010,5
2010,UKD3,2010,4
2010,UKD4,2010,8
2010,UKD6,2010,5
2010,UKD7,2010,0
2010,UKE1,2010,7
2010,UKE2,2010,7
2010,UKE3,2010,6
2010,UKE4,2010,5
2010,UKF1,2010,7
2010,UKF2,2010,0
2010,UKF3,2010,0
2010,UKG1,2010,10
2010,UKG2,2010,8
2010,UKG3,2010,8
2010,UKH1,2010,6
2010,UKH2,2010,4
2010,UKH3,2010,5
2010,UKI1,2010,5
2010,UKI2,2010,1
2010,UKJ1,2010,4
2010,UKJ2,2010,9
2010,UKJ3,2010,4
2010,UKJ4,2010,1
2010,UKK1,2010,7
2010,UKK2,2010,0
2010,UKK3,2010,7
2010,UKK4,2010,3
2010,UKL1,2010,8
2010,UKL2,2010,10
2010,UKM2,2010,2
2010,UKM3,2010,7
2010,UKM5,2010,8
2010,UKM6,2010,0
2010,UKN0,2010,5
2011,UKC1,2010,7
2011,UKC2,2010,4
2011,UKD1,2010,7
2011,UKD3,2010,4
2011,UKD4,2010,9
2011,UKD6,2010,7
2011,UKD7,2010,0
2011,UKE1,2010,4
2011,UKE2,2010,2
2011,UKE3,2010,6
2011,UKE4,2010,8
2011,UKF1,2010,0
2011,UKF2,2010,5
2011,UKF3,2010,10
2011,UKG1,2010,2
2011,UKG2,2010,6
2011,UKG3,2010,9
2011,UKH1,2010,8
2011,UKH2,2010,2
2011,UKH3,2010,1
2011,UKI1,2010,7
2011,UKI2,2010,4
2011,UKJ1,2010,2
2011,UKJ2,2010,0
2011,UKJ3,2010,0
2011,UKJ4,2010,2
2011,UKK1,2010,7
2011,UKK2,2010,9
2011,UKK3,2010,5
2011,UKK4,2010,7
2011,UKL1,2010,5
2011,UKL2,2010,9
2011,UKM2,2010,2
2011,UKM3,2010,5
2011,UKM5,2010,3
2011,UKM6,2010,2
2011,UKN0,2010,2
2012,UKC1,2010,6
2012,UKC2,2010,2
2012,UKD1,2010,8
2012,UKD3,2010,10
2012,UKD4,2010,9
2012,UKD6,2010,7
2012,UKD7,2010,7
2012,UKE1,2010,10
2012,UKE2,2010,10
2012,UKE3,2010,0
2012,UKE4,2010,9
2012,UKF1,2010,8
2012,UKF2,2010,9
2012,UKF3,2010,5
2012,UKG1,2010,6
2012,UKG2,2010,2
2012,UKG3,2010,1
2012,UKH1,2010,1
2012,UKH2,2010,10
2012,UKH3,2010,6
2012,UKI1,2010,0
2012,UKI2,2010,7
2012,UKJ1,2010,2
2012,UKJ2,2010,9
2012,UKJ3,2010,4
2012,UKJ4,2010,7
2012,UKK1,2010,9
2012,UKK2,2010,9
2012,UKK3,2010,8
2012,UKK4,2010,5
2012,UKL1,2010,1
2012,UKL2,2010,4
2012,UKM2,2010,0
2012,UKM3,2010,9
2012,UKM5,2010,10
2012,UKM6,2010,2
2012,UKN0,2010,6
2013,UKC1,2013,7
2013,UKC2,2013,0
2013,UKD1,2013,1
2013,UKD3,2013,7
2013,UKD4,2013,9
2013,UKD6,2013,0
2013,UKD7,2013,1
2013,UKE1,2013,7
2013,UKE2,2013,6
2013,UKE3,2013,5
2013,UKE4,2013,3
2013,UKF1,2013,7
2013,UKF2,2013,8
2013,UKF3,2013,7
2013,UKG1,2013,2
2013,UKG2,2013,0
2013,UKG3,2013,1
2013,UKH1,2013,0
2013,UKH2,2013,7
2013,UKH3,2013,1
2013,UKI3,2013,4
2013,UKI4,2013,8
2013,UKI5,2013,3
2013,UKI6,2013,5
2013,UKI7,2013,10
2013,UKJ1,2013,2
2013,UKJ2,2013,9
2013,UKJ3,2013,4
2013,UKJ4,2013,6
2013,UKK1,2013,10
2013,UKK2,2013,10
2013,UKK3,2013,2
2013,UKK4,2013,7
2013,UKL1,2013,4
2013,UKL2,2013,1
2013,UKM2,2013,8
2013,UKM3,2013,3
2013,UKM5,2013,5
2013,UKM6,2013,0
2013,UKN0,2013,7